HSN Code.,Product,Category,Ware House No.,Unit/Cost,Selling Price,Reorder Level,,,,,,,
ASW-001,Xiaomi Android TV,Led TV,WH-0041," ₹ 11,000 "," ₹ 35,000 ",10,,,,,,,
ASW-002,iPhone 15,Mobile Phone,WH-0041," ₹ 40,000 "," ₹ 1,20,000 ",12,,,,,,,
ASW-003,Samsung Galaxy S23 FE,Mobile Phone,WH-0041," ₹ 16,000 "," ₹ 50,000 ",11,,,,,,,
ASW-004,HP Envy x360,Laptop,WH-0041," ₹ 15,000 "," ₹ 45,000 ",10,,,,,,,
ASW-005,One Plus 12,Mobile Phone,WH-0042," ₹ 11,000 "," ₹ 35,000 ",12,,,,,,,
ASW-006,Google Pixel 7a,Mobile Phone,WH-0042," ₹ 23,000 "," ₹ 70,000 ",10,,,,,,,
ASW-007,Motorola Edge 40,Mobile Phone,WH-0042," ₹ 10,000 "," ₹ 30,000 ",11,,,,,,,
ASW-008,HP Pavilion 15,Laptop,WH-0042," ₹ 16,000 "," ₹ 50,000 ",12,,,,,,,
ASW-009,Google Pixel 8 Pro,Mobile Phone,WH-0042," ₹ 20,000 "," ₹ 60,000 ",12,,,,,,,
ASW-010,iPad Mini,Tablet,WH-0041," ₹ 20,000 "," ₹ 60,000 ",11,,,,,,,
ASW-011,HP spectre x360,Laptop,WH-0041," ₹ 20,000 "," ₹ 60,000 ",10,,,,,,,
ASW-012,HP  Victer 14s,Laptop,WH-0042," ₹ 23,000 "," ₹ 70,000 ",10,,,,,,,
ASW-013,MacBook Pro M3 Max 16,Laptop,WH-0041," ₹ 40,000 "," ₹ 1,20,000 ",12,,,,,,,
ASW-014,iPad Pro 12,Tablet,WH-0041," ₹ 30,000 "," ₹ 90,000 ",12,,,,,,,
ASW-015,Asus Zenbook 14,Laptop,WH-0042," ₹ 26,000 "," ₹ 80,000 ",12,,,,,,,
ASW-016,iPhone 15 Pro Max,Mobile Phone,WH-0041," ₹ 35,000 "," ₹ 1,10,000 ",12,,,,,,,
ASW-017,Dell Alienware,Laptop,WH-0041," ₹ 26,000 "," ₹ 80,000 ",12,,,,,,,
ASW-018,Samsung Galaxy S24 Ultra,Mobile Phone,WH-0042," ₹ 22,000 "," ₹ 65,000 ",11,,,,,,,
ASW-019,iPhone 13,Mobile Phone,WH-0042," ₹ 35,000 "," ₹ 1,05,000 ",12,,,,,,,
ASW-020,Xiaomi 14 Pro,Mobile Phone,WH-0042," ₹ 11,000 "," ₹ 35,000 ",11,,,,,,,
ASW-021,Sony Bravia 4k Led TV,Led TV,WH-0042," ₹ 20,000 "," ₹ 60,000 ",12,,,,,,,
ASW-022,Nothing Phone,Mobile Phone,WH-0042," ₹ 18,000 "," ₹ 55,000 ",11,,,,,,,
ASW-023,iPad Air,Tablet,WH-0042," ₹ 23,000 "," ₹ 70,000 ",12,,,,,,,
ASW-024,One Plus Led TV,Led TV,WH-0042," ₹ 21,000 "," ₹ 65,000 ",12,,,,,,,
ASW-025,Samsung Smart Led TV ,Led TV,WH-0041," ₹ 25,000 "," ₹ 75,000 ",10,,,,,,,
ASW-026,MacBook Air M2 13,Laptop,WH-0042," ₹ 50,000 "," ₹ 1,50,000 ",12,,,,,,,
ASW-027,Sony Xperia 1V,Mobile Phone,WH-0042," ₹ 30,000 "," ₹ 95,000 ",10,,,,,,,
ASW-028,Samsung Galaxy Tab S9 FE,Mobile Phone,WH-0041," ₹ 20,000 "," ₹ 65,000 ",10,,,,,,,
ASW-029,Samsung Galaxy S24+,Mobile Phone,WH-0042," ₹ 50,000 "," ₹ 1,50,000 ",11,,,,,,,
ASW-030,One Plus Ultra ,Mobile Phone,WH-0041," ₹ 11,000 "," ₹ 35,000 ",12,,,,,,,
ASW-031,Dell Aspire ,Laptop,WH-0041," ₹ 21,000 "," ₹ 65,000 ",12,,,,,,,
ASW-032,Samsung Android TV,Led TV,WH-0041," ₹ 25,000 "," ₹ 75,000 ",11,,,,,,,
ASW-033,HP Victre 14s,Laptop,WH-0042," ₹ 18,000 "," ₹ 55,000 ",10,,,,,,,
ASW-034,iPad 9th Gen,Tablet,WH-0042," ₹ 12,000 "," ₹ 40,000 ",12,,,,,,,
ASW-035,Sony Bravia Smart 4K,Led TV,WH-0041," ₹ 33,000 "," ₹ 1,00,000 ",12,,,,,,,
ASW-036,Samsung F23 Plus,Mobile Phone,WH-0042," ₹ 20,000 "," ₹ 60,000 ",11,,,,,,,
ASW-037,Google Smart TV,Led TV,WH-0041," ₹ 23,000 "," ₹ 70,000 ",11,,,,,,,
ASW-038,iPad 16 ,Mobile Phone,WH-0042," ₹ 45,000 "," ₹ 1,40,000 ",11,,,,,,,
ASW-039,Samsung Galaxy A49+,Mobile Phone,WH-0041," ₹ 11,000 "," ₹ 35,000 ",11,,,,,,,
ASW-040,iPad 16 Pro Max,Mobile Phone,WH-0042," ₹ 35,000 "," ₹ 1,10,000 ",10,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,T051,01-09-2025,P001,Store A,-2,Sale
,,,,,,,,T052,01-09-2025,P004,Store B,-5,Sale
,,,,,,,,T053,01-09-2025,P007,Store C,20,Receipt
,,,,,,,,T056,02-09-2025,P002,Store A,15,Receipt
,,,,,,,,T054,02-09-2025,P003,Store A,-3,Sale
,,,,,,,,T055,02-09-2025,P010,Store B,-2,Sale
,,,,,,,,T058,03-09-2025,P006,Store B,-2,Sale
,,,,,,,,T059,03-09-2025,P009,Store A,-1,Sale
,,,,,,,,T057,03-09-2025,P015,Store C,-4,Sale
,,,,,,,,T060,04-09-2025,P012,Store B,10,Receipt
,,,,,,,,T062,04-09-2025,P017,Store A,-3,Sale
,,,,,,,,T061,04-09-2025,P019,Store C,-6,Sale
,,,,,,,,T063,05-09-2025,P014,Store B,-5,Sale
,,,,,,,,T064,05-09-2025,P018,Store A,20,Receipt
,,,,,,,,T065,05-09-2025,P020,Store C,-2,Sale
,,,,,,,,T066,06-09-2025,P005,Store A,-8,Sale
,,,,,,,,T068,06-09-2025,P008,Store B,-7,Sale
,,,,,,,,T067,06-09-2025,P013,Store C,15,Receipt
,,,,,,,,T069,07-09-2025,P011,Store A,-2,Sale
,,,,,,,,T070,07-09-2025,P016,Store B,-3,Sale
,,,,,,,,T071,10-09-2025,P002,Store C,15,Receipt
